,Name,EPIC,Mass,r'mag,Kmag,Prot1,Pw1,Q1,Clean?,Sig,Prot2,Pw2,Q2,MP?,SE?,Bl?,Bin?,RawAmp,SmAmp,P,ProtA,ProtD,ProtS,ProtK,Kpmag,Notes,PrCat,PCat,All,2M,Simbad,RAJ2000,DEJ2000
50,KW325  ,211933215,1.22,10.41,9.06,6.11,0.5571,0,Y,0.00774,       ,       , ,N,Y,N,conf,0.00986,0.34675,K,     ,     ,     ,6.24,10.46,                                                                                            ,1,1,All,2M,Simbad,130.174592,19.223741
51,JS729  ,211983476,0.25,17.43,13.08,4.3,0.7073,0,Y,0.00839,       ,       , ,N,Y,N,    ,0.04543,2.15018,S,     ,     ,4.46,     ,16.97,                                                                                            ,0,2,All,2M,Simbad,130.358451,19.987553
52,JS340  ,212009944,0.6,14.98,11.31,19.02,0.5296,0,N,0.0083,4.4121,0.3667,0,Y,N,N,cand,0.01452,0.54508,2,     ,     ,     ,     ,14.67,                                                                                            ,0,2,All,2M,Simbad,130.041762,20.418951999999997
53,KW399  ,211968088,1.12,10.78,9.47,7.57,0.3273,0,N,0.0083,       ,       , ,N,Y,Y,conf,0.01115,0.291,K,     ,     ,     ,7.04,10.83,                                                                                            ,1,1,All,2M,Simbad,130.369517,19.746681
54,HSHJ248,211968779,0.24,17.88,13.16,17.18,0.5578,0,Y,0.00733,       ,       , ,N,Y,N,    ,0.04213,1.56924,2,     ,     ,     ,     ,17.27,                                                                                            ,0,2,All,2M,Simbad,129.77133600000002,19.757338
55,JS313  ,211992053,0.39,16.69,12.3,5.08,0.1261,0,N,0.00733,1.8242,0.0982,0,Y,Y,Y,    ,0.02198,0.83809,S,     ,     ,5.76,     ,15.33,                                                                                            ,0,2,All,2M,Simbad,129.938386,20.124298
56,KW573  ,211968228,0.5,15.16,11.88,21.32,0.3934,0,Y,0.00972,       ,       , ,N,Y,Y,    ,0.01214,0.40366,2,     ,     ,     ,     ,15.21,binary barely resolved in SDSS                                                              ,1,2,All,2M,Simbad,130.057432,19.748876
57,HSHJ195,211988223,0.2,18.12,13.48,1.16,0.401,0,Y,0.00806,       ,       , ,N,N,N,    ,0.05166,2.09584,S,     ,     ,1.15,     ,16.8,                                                                                            ,0,1,All,2M,Simbad,129.53336299999998,20.064041
58,KW196  ,211910082,1.16,10.55,9.33,6.69,0.6768,0,Y,0.00761,       ,       , ,N,Y,N,    ,0.02476,1.10203,D,     ,6.29,     ,6.58,10.58,                                                                                            ,2,1,All,2M,Simbad,129.89807,18.876901999999998
59,KW466  ,211944807,1.12,10.81,9.46,10.02,0.4176,0,Y,0.00761,       ,       , ,N,Y,N,conf,0.01421,0.52601,K,     ,     ,     ,10.22,10.82,complex peaks                                                                               ,0,1,All,2M,Simbad,130.634386,19.39619
60,AD 2802,211980450,0.3,17.21,12.69,1.02,0.487,0,Y,0.00775,       ,       , ,N,N,Y,    ,0.04669,1.50605,S,     ,     ,0.51,     ,16.8,                                                                                            ,0,2,All,2M,Simbad,130.164065,19.939966000000002
61,JS206  ,211992843,0.52,15.46,11.82,19.27,0.452,0,Y,0.00816,       ,       , ,N,Y,N,    ,0.02089,0.69742,2,     ,     ,     ,     ,14.96,                                                                                            ,0,1,All,2M,Simbad,129.477373,20.136759
62,JS237  ,211969807,0.46,15.88,12.01,17.08,0.1358,1,Y,0.00832,       ,       , ,N,Y,N,    ,0.0089,0.3336,P,18.57,     ,     ,     ,15.15,2x primary peak is more likely the true period; primary is a little too short though        ,0,2,All,2M,Simbad,129.63675600000002,19.773829
63,JS350  ,211996186,1.0,12.48,10.04,11.97,0.6526,0,Y,0.00755,       ,       , ,N,Y,N,conf,0.01286,0.52757,K,     ,     ,     ,12.98,12.46,                                                                                            ,1,2,All,2M,Simbad,130.078908,20.191831
64,HSHJ381,211997350,0.22,17.89,13.33,21.63,0.3519,0,Y,0.00757,       ,       , ,N,N,N,    ,0.05122,1.79803,2,     ,     ,     ,     ,17.32,                                                                                            ,0,2,All,2M,Simbad,130.40573600000002,20.210241
65,JS427  ,211959857,0.53,15.38,11.79,18.11,0.3828,0,Y,0.00824,       ,       , ,N,N,N,    ,0.01874,0.50755,2,     ,     ,     ,     ,15.09,                                                                                            ,1,2,All,2M,Simbad,130.335176,19.622920999999998
66,KW 90  ,211942703,1.19,10.66,9.19,     ,       ,2, ,        ,       ,       , , , , ,cand,        ,        ,K,     ,     ,     ,7.01,10.73,complex peaks                                                                               ,1,1,All,2M,Simbad,129.559429,19.365397
67,KW472  ,211954593,1.35,9.67,8.72,0.41,0.1292,0,N,0.00775,0.6202,0.1111,1,Y,N,Y,    ,0.00138,0.005,2,     ,     ,     ,     ,9.84,complex peaks                                                                               ,0,1,All,2M,Simbad,130.669671,19.543193
68,KW570  ,211983725,0.6,14.78,11.32,4.22,0.2006,0,Y,0.00793,       ,       , ,N,Y,Y,cand,0.02431,0.89823,P,4.18,     ,4.27,16.81,14.64,2x primary peak is more likely the true period; second highest peak is close                ,1,2,All,2M,Simbad,129.92096,19.99134
69,HSHJ235,211974178,0.2,18.26,13.58,1.7,0.4739,0,Y,0.00747,       ,       , ,N,N,Y,    ,0.02849,1.21787,2,     ,     ,     ,     ,17.68,                                                                                            ,0,2,All,2M,Simbad,129.73116399999998,19.842625
70,AD 2552,211989299,0.34,16.49,12.51,12.84,0.0961,1,Y,0.00955,       ,       , ,N,Y,Y,    ,0.00673,0.19755,P,25.36,     ,     ,     ,15.6,peak is oddly shaped; there's another peak at twice the detected one                        ,0,2,All,2M,Simbad,129.843521,20.081977
71,KW543  ,212018902,1.05,11.24,9.72,9.36,0.5313,0,Y,0.01065,       ,       , ,N,Y,N,    ,0.01623,0.53755,K,     ,     ,     ,8.76,11.2,                                                                                            ,1,1,All,2M,Simbad,129.562468,20.567839000000003
72,JS243  ,211994910,0.39,16.67,12.28,0.74,0.0431,0,N,0.00779,       ,       , ,N,N,N,    ,0.03472,1.23331,2,     ,     ,     ,     ,16.15,big flare?                                                                                  ,0,2,All,2M,Simbad,129.66275900000002,20.170795000000002
73,KW 70  ,211934056,1.0,11.6,10.04,9.05,0.6929,0,Y,0.0091,       ,       , ,N,Y,Y,    ,0.02019,0.80429,K,     ,     ,     ,8.65,11.64,                                                                                            ,1,1,All,2M,Simbad,129.487641,19.236217
74,HSHJ397,211958929,0.19,18.37,13.67,1.23,0.782,0,Y,0.00779,       ,       , ,N,N,N,    ,0.04419,1.97415,S,     ,     ,1.23,     ,17.81,                                                                                            ,0,2,All,2M,Simbad,130.473301,19.608521
75,JS270  ,212005623,0.49,15.58,11.91,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,15.16,                                                                                            ,0,2,All,2M,Simbad,129.77863100000002,20.348413
76,JS286  ,212030244,1.0,11.69,10.03,9.19,0.6833,0,Y,0.0086,       ,       , ,N,Y,N,    ,0.01465,0.63956,D,     ,9.11,     ,9.25,11.67,                                                                                            ,1,2,All,2M,Simbad,129.839768,20.758183
77,KW 47  ,211927313,1.42,9.68,8.58,3.06,0.2011,0,Y,0.00843,       ,       , ,Y,N,N,conf,0.00134,0.02549,2,     ,     ,     ,     ,9.79,complex peaks                                                                               ,1,1,All,2M,Simbad,129.426516,19.133763000000002
78,KW569  ,211972478,0.6,14.68,11.39,16.07,0.595,0,Y,0.0076,       ,       , ,N,Y,N,    ,0.01776,0.92141,2,     ,     ,     ,     ,14.55,                                                                                            ,0,2,All,2M,Simbad,129.904786,19.816104
79,AD 2328,211978157,0.33,17.01,12.53,1.79,0.7498,0,Y,0.00783,       ,       , ,N,Y,Y,    ,0.03817,1.75092,2,     ,     ,     ,     ,15.7,                                                                                            ,0,2,All,2M,Simbad,129.366226,19.903523999999997
80,KW272  ,211978880,1.0,12.07,10.01,10.62,0.6177,0,Y,0.00921,       ,       , ,N,Y,N,cand,0.01248,0.47849,K,     ,     ,     ,9.94,12.33,                                                                                            ,1,2,All,2M,Simbad,130.06546699999998,19.915069
81,HSHJ194,211956421,0.21,18.09,13.39,20.88,0.3208,1,Y,0.00861,       ,       , ,N,M,M,    ,0.01951,0.66315,2,     ,     ,     ,     ,16.83,                                                                                            ,0,1,All,2M,Simbad,129.528179,19.571614999999998
82,KW575  ,211986537,0.63,13.81,11.02,13.54,0.8596,0,Y,0.00789,       ,       , ,N,Y,N,    ,0.01329,0.61033,K,     ,     ,     ,13.67,13.7,                                                                                            ,1,2,All,2M,Simbad,130.31423,20.037765
83,KW 58  ,211983461,1.05,11.08,9.69,7.95,0.3487,0,N,0.00796,       ,       , ,M,Y,N,    ,0.01425,0.60365,K,     ,     ,     ,7.97,11.12,                                                                                            ,0,1,All,2M,Simbad,129.467052,19.987197000000002
84,JS394  ,211943613,0.56,15.14,11.63,16.51,0.75,0,Y,0.00754,       ,       , ,N,M,N,    ,0.00856,0.37177,2,     ,     ,     ,     ,14.92,                                                                                            ,0,2,All,2M,Simbad,130.22426299999998,19.378904000000002
85,HSHJ436,211988700,0.28,17.22,12.79,6.46,0.0875,0,Y,0.0061,       ,       , ,N,Y,M,    ,0.01412,0.54591,S,     ,     ,4.87,     ,16.86,                                                                                            ,0,2,All,2M,Simbad,130.736447,20.071716000000002
86,KW539  ,211935509,1.05,11.11,9.69,7.49,0.6029,0,Y,0.00743,       ,       , ,N,Y,Y,conf,0.01055,0.48428,D,     ,7.41,     ,7.45,11.04,                                                                                            ,2,1,All,2M,Simbad,129.204023,19.257351999999997
87,AD 3010,212021051,0.26,17.48,12.99,7.4,0.534,0,Y,0.00802,       ,       , ,N,Y,N,    ,0.04172,2.07063,2,     ,     ,     ,     ,16.97,                                                                                            ,0,2,All,2M,Simbad,130.43391599999998,20.604443
88,JS232  ,211969273,0.54,15.59,11.77,17.27,0.8985,0,Y,0.00816,       ,       , ,N,N,N,cand,0.05345,2.45905,2,17.33,     ,     ,     ,14.9,                                                                                            ,0,2,All,2M,Simbad,129.615552,19.765452
89,       ,212012299,0.9,12.06,10.29,9.63,0.2783,0,N,0.00743,       ,       , ,N,Y,N,    ,0.01224,0.60377,2,     ,     ,     ,     ,12.02,                                                                                            ,0,2,All,2M,Simbad,130.260917,20.457701
90,JS717  ,211936878,0.23,17.62,13.23,17.27,0.1298,0,Y,0.00672,       ,       , ,N,Y,N,    ,0.01471,0.59832,2,     ,     ,     ,     ,16.05,                                                                                            ,1,1,All,2M,Simbad,130.010379,19.277701999999998
91,KW434  ,211935518,1.05,11.13,9.64,4.18,0.6546,0,Y,0.00868,       ,       , ,N,Y,N,conf,0.05169,2.09998,K,     ,     ,     ,8.27,11.18,amplitude increases significantly over campaign                                             ,1,1,All,2M,Simbad,130.476516,19.257417999999998
92,JS136  ,211978879,0.47,15.85,12.01,9.85,0.0381,1,Y,0.00783,       ,       , ,N,Y,Y,    ,0.02059,0.18044,2,     ,     ,     ,     ,15.22,2x primary peak is more likely the true period; visual double in SDSS                       ,0,2,All,2M,Simbad,129.13909099999998,19.915069
93,JS373  ,212005017,0.6,14.46,11.37,15.65,0.1141,0,Y,0.00865,       ,       , ,N,Y,N,    ,0.00992,0.21371,2,     ,     ,     ,     ,14.36,                                                                                            ,1,2,All,2M,Simbad,130.15786,20.338288000000002
94,AD 2969,211955007,0.19,18.46,13.68,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,17.87,                                                                                            ,0,2,All,2M,Simbad,130.389795,19.550081
95,JS283  ,211971189,0.44,15.61,12.08,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        ,P,19.62,     ,     ,     ,15.33,neither fits the repeats in the full light curve                                            ,0,2,All,2M,Simbad,129.819937,19.795222
96,HSHJ246,211945329,0.21,18.12,13.41,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,17.51,                                                                                            ,0,2,All,2M,Simbad,129.76285900000002,19.404331
97,JS311  ,212014467,0.29,17.11,12.75,     ,       ,2, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,16.63,2x primary peak looks like the true period but isn't detected                               ,0,2,All,2M,Simbad,129.931698,20.494322
98,JS468  ,211968029,0.5,15.63,11.89,16.61,0.7436,0,Y,0.00795,       ,       , ,N,N,Y,    ,0.02199,0.95905,P,16.77,     ,     ,     ,14.98,                                                                                            ,0,2,All,2M,Simbad,130.497265,19.745855
99,       ,211950886,0.27,17.34,12.9,4.54,0.5961,0,Y,0.00811,       ,       , ,N,N,N,    ,0.02885,1.32901,2,     ,     ,     ,     ,16.83,                                                                                            ,0,1,All,2M,Simbad,129.47868799999998,19.486053
100,A 575  ,211960649,0.73,13.11,10.76,11.74,0.9088,0,Y,0.00961,       ,       , ,N,Y,N,    ,0.01454,0.70694,K,     ,     ,     ,12.29,13.17,                                                                                            ,0,2,All,2M,Simbad,130.333014,19.634646
101,KW476  ,211925093,1.02,11.4,9.88,8.69,0.3977,0,Y,0.00825,       ,       , ,M,Y,N,    ,0.00962,0.37243,K,     ,     ,     ,8.84,11.41,complex peaks                                                                               ,1,2,All,2M,Simbad,130.67701,19.0997
102,JS379  ,212013132,0.86,13.62,10.4,2.13,0.4385,0,Y,0.00759,12.3168,0.1648,0,Y,N,N,cand,0.02412,0.76497,D,     ,4.27,     ,12.78,13.54,                                                                                            ,1,2,All,2M,Simbad,130.184406,20.471852
103,HSHJ455,211973228,0.27,17.35,12.92,     ,       ,3, ,        ,       ,       , , , , ,cand,        ,        , ,     ,     ,     ,     ,16.93,                                                                                            ,0,2,All,2M,Simbad,130.86498,19.827938
104,JS178  ,211946212,0.58,15.34,11.54,16.42,0.7059,0,Y,0.00771,       ,       , ,N,Y,Y,cand,0.0109,0.48942,2,     ,     ,     ,     ,14.96,                                                                                            ,0,2,All,2M,Simbad,129.350827,19.416985999999998
105,JS267  ,211953336,0.68,13.13,10.86,12.63,0.4746,0,Y,0.00876,       ,       , ,M,Y,N,    ,0.00588,0.25588,K,     ,     ,     ,12.39,13.34,                                                                                            ,0,2,All,2M,Simbad,129.76711799999998,19.522683999999998
106,HSHJ424,211951283,0.23,17.61,13.23,     ,       ,3, ,        ,       ,       , , , , ,    ,        ,        , ,     ,     ,     ,     ,17.11,                                                                                            ,0,2,All,2M,Simbad,130.628221,19.491962
107,KW403  ,211982334,1.02,11.47,9.93,8.97,0.4581,0,Y,0.00827,       ,       , ,N,Y,Y,    ,0.00978,0.31376,K,     ,     ,     ,9.46,11.52,                                                                                            ,0,2,All,2M,Simbad,130.390955,19.969085999999997
108,HSHJ333,211989807,0.27,17.02,12.88,20.59,0.2528,0,Y,0.00745,       ,       , ,N,N,N,    ,0.00656,0.20503,2,     ,     ,     ,     ,16.66,                                                                                            ,0,2,All,2M,Simbad,130.224895,20.090107
109,JS702  ,211949413,0.29,17.27,12.77,1.33,0.1677,0,Y,0.00816,       ,       , ,N,Y,N,    ,0.02358,0.99551,2,     ,     ,     ,     ,16.76,                                                                                            ,0,1,All,2M,Simbad,129.488024,19.463877
110,KW184  ,211950081,1.09,11.14,9.53,10.22,0.3209,0,N,0.00889,       ,       , ,M,Y,N,conf,0.00545,0.21638,K,     ,     ,     ,10.49,11.38,complex peaks                                                                               ,1,2,All,2M,Simbad,129.869108,19.473663000000002
